site,site_name,plot,year,treat_cont,species,snag_dbh,stump_dbh,tree_dbh,status,crwn_ratio,core_outsideplot
5a,sm_treat,5a5,2016,t,abla,,,27,li,60,
5a,sm_treat,5a5,2016,t,pien,,,43,li,50,
5a,sm_treat,5a5,2016,t,pien,,,53,li,40,
5a,sm_treat,5a5,2016,t,pien,,93,,u,,
5a,sm_treat,5a5,2016,t,abla,,,29,li,40,
5a,sm_treat,5a5,2016,t,pien,,,14,li,35,
5a,sm_treat,5a5,2016,t,abla,,,15,li,5,
5a,sm_treat,5a5,2016,t,abla,,,20,li,60,
5a,sm_treat,5a5,2016,t,pien,,,30,li,75,
5a,sm_treat,5a5,2016,t,pien,,,48,li,70,
5a,sm_treat,5a5,2016,t,abla,,,18,tw,,
5a,sm_treat,5a5,2016,t,abla,,,28,Br,,
5a,sm_treat,5a5,2016,t,abla,,,30,li,50,
5a,sm_treat,5a5,2016,t,abla,,,26,de,,
5a,sm_treat,5a5,2016,t,abla,,,34,tw,,
5a,sm_treat,5a5,2016,t,pien,,,9,li,70,
5a,sm_treat,5a5,2016,t,pien,,,48,li,60,yes
5a,sm_treat,5a5,2016,t,pien,,,45,li,50,
5a,sm_treat,5a5,2016,t,abla,,,32,tw,,
5a,sm_treat,5a5,2016,t,pien,,,10,li,70,
5a,sm_treat,5a5,2016,t,pien,,,38,lo,50,yes
5a,sm_treat,5a5,2016,t,pien,,72,,u,,
5a,sm_treat,5a5,2016,t,pien,,75,,u,,
5a,sm_treat,5a5,2016,t,pien,,57,,u,,
5a,sm_treat,5a5,2016,t,pien,,32,,u,,
5a,sm_treat,5a5,2016,t,pien,,68,,u,,
5a,sm_treat,5a6,2016,t,abla,,,20,tw,,
5a,sm_treat,5a6,2016,t,abla,,,33,ye,,
5a,sm_treat,5a6,2016,t,pien,,,40,li,70,
5a,sm_treat,5a6,2016,t,pien,49,,,sn,,
5a,sm_treat,5a6,2016,t,abla,,,16,li,15,
5a,sm_treat,5a6,2016,t,pien,,,40,li,40,
5a,sm_treat,5a6,2016,t,abla,,,10,li,10,
5a,sm_treat,5a6,2016,t,pien,,,25,li,45,
5a,sm_treat,5a6,2016,t,pien,,,41,li,60,
5a,sm_treat,5a6,2016,t,abla,,,15,li,40,
5a,sm_treat,5a6,2016,t,abla,,,11,li,30,
5a,sm_treat,5a6,2016,t,pien,,,21,br,,
5a,sm_treat,5a6,2016,t,pien,,,32,li,40,
5a,sm_treat,5a6,2016,t,pien,,,45,li,70,
5a,sm_treat,5a6,2016,t,pien,,,16,tw,,
5a,sm_treat,5a6,2016,t,pien,,,16,tw,,
5a,sm_treat,5a6,2016,t,pien,,,35,li,40,
5a,sm_treat,5a6,2016,t,abla,,,28,tw,,
5a,sm_treat,5a6,2016,t,abla,,,6,li,35,
5a,sm_treat,5a6,2016,t,abla,,,5,li,35,
5a,sm_treat,5a6,2016,t,pien,,,11,tw,,
5a,sm_treat,5a6,2016,t,abla,,,32,li,50,
5a,sm_treat,5a6,2016,t,abla,,,27,li,30,
5a,sm_treat,5a6,2016,t,pien,,39,,u,,
5a,sm_treat,5a6,2016,t,pien,,62,,u,,
5a,sm_treat,5a6,2016,t,pien ,,11,,u,,
5a,sm_treat,5a6,2016,t,pien,,25,,u,,
5a,sm_treat,5a6,2016,t,abla,,22,,u,,
5a,sm_treat,5a6,2016,t,abla,,,9,li,30,
5a,sm_treat,5a6,2016,t,abla,,7,,u,,
5a,sm_treat,5a6,2016,t,abla,,12,,u,,
5a,sm_treat,5a6,2016,t,pien,,50,,u,,
5a,sm_treat,5a6,2016,t,abla,,,5,li,30,
5a,sm_treat,5a6,2016,t,pien,,,29,li,60,
5a,sm_treat,5a6,2016,t,abla,,,8,li,30,
5a,sm_treat,5a6,2016,t,abla,,,5,li,30,
5a,sm_treat,5a6,2016,t,abla,,,26,li,50,
5a,sm_treat,5a6,2016,t,pien,,,33,li,90,
5a,sm_treat,5a6,2016,t,pien,,,49,li,80,
5a,sm_treat,5a6,2016,t,abla,,,7,li,20,
5a,sm_treat,5a6,2016,t,pien,,,14,li,40,
5a,sm_treat,5a6,2016,t,pien,,,7,li,15,
5a,sm_treat,5a7,2016,t,abla,,,10,li,70,
5a,sm_treat,5a7,2016,t,abla,,,49,li,70,
5a,sm_treat,5a7,2016,t,pien,,,33,tw,,
5a,sm_treat,5a7,2016,t,abla,,,10,li,90,
5a,sm_treat,5a7,2016,t,pien,,,4,li,45,
5a,sm_treat,5a7,2016,t,pien,,39,,u,,
5a,sm_treat,5a7,2016,t,pien,,47,,u,,
5a,sm_treat,5a7,2016,t,pien,,,34,li,80,
5a,sm_treat,5a7,2016,t,abla,,,20,li,40,
5a,sm_treat,5a7,2016,t,pien,,,12,li,50,
5a,sm_treat,5a7,2016,t,pien,,41,,u,,
5a,sm_treat,5a7,2016,t,pien,,67,,u,,
5a,sm_treat,5a7,2016,t,pien,,,4,li,15,
5a,sm_treat,5a7,2016,t,pien,,,10,li,50,
5a,sm_treat,5a7,2016,t,abla,,,13,li,90,
5a,sm_treat,5a7,2016,t,abla,,,7,li,90,
5a,sm_treat,5a7,2016,t,pien,,,11,li,100,
5a,sm_treat,5a7,2016,t,abla,,,25,li,70,
5a,sm_treat,5a7,2016,t,pien,,,49,li,40,
5a,sm_treat,5a7,2016,t,pien,,,7,li,95,
5a,sm_treat,5a7,2016,t,abla,,,5,li,15,
5a,sm_treat,5a7,2016,t,ppien,,,29,li,80,
5a,sm_treat,5a7,2016,t,pien,,57,,u,,
5a,sm_treat,5a7,2016,t,abla,,,32,li,60,
5a,sm_treat,5a7,2016,t,pien,,,30,li,70,yes
5a,sm_treat,5a7,2016,t,pien,,,25,li,60,yes
5a,sm_treat,5a7,2016,t,pien,,,60,li,100,yes
5a,sm_treat,5a7,2016,t,pien,,,33,li,60,yes
5a,sm_treat,5a7,2016,t,pien,,,32,li,45,yes
5a,sm_treat,5a7,2016,t,pien,,,45,li,65,
5a,sm_treat,5a7,2016,t,pien,,,51,li,30,
5a,sm_treat,5a8,2016,t,abla,,,32,li,60,
5a,sm_treat,5a8,2016,t,abla,,,7,li,10,
5a,sm_treat,5a8,2016,t,pien,29,,,sn,,
5a,sm_treat,5a8,2016,t,pien,,,57,li,80,
5a,sm_treat,5a8,2016,t,pien,,54,,u,,
5a,sm_treat,5a8,2016,t,abla,,,25,li,20,
5a,sm_treat,5a8,2016,t,pien,,43,,u,,
5a,sm_treat,5a8,2016,t,abla,,,41,li,70,
5a,sm_treat,5a8,2016,t,pien,,53,,u,,
5a,sm_treat,5a8,2016,t,abla,,,17,li,50,
5a,sm_treat,5a8,2016,t,pien,,,32,li,70,
5a,sm_treat,5a8,2016,t,abla,,,7,li,90,
5a,sm_treat,5a8,2016,t,abla,,,5,li,80,
5a,sm_treat,5a8,2016,t,abla,,,27,li,45,
5a,sm_treat,5a8,2016,t,abla,,,8,li,25,
5a,sm_treat,5a8,2016,t,pien,42,,,sn,,
5a,sm_treat,5a8,2016,t,abla,,,5,li,35,
5a,sm_treat,5a8,2016,t,abla,,,21,li,70,
5a,sm_treat,5a8,2016,t,abla,,,16,li,60,
5a,sm_treat,5a8,2016,t,pien,,,28,li,75,
5a,sm_treat,5a8,2016,t,abla,,,17,li,40,
5a,sm_treat,5a8,2016,t,abla,,,12,li,80,
5a,sm_treat,5a8,2016,t,abla,,,8,li,75,
5a,sm_treat,5a8,2016,t,pien,,,16,li,40,
5a,sm_treat,5a8,2016,t,pien,,,53,li,100,yes
5a,sm_treat,5a8,2016,t,pien,,,19,li,90,yes
5a,sm_treat,5a8,2016,t,pien,,,38,li,60,
5a,sm_treat,5a8,2016,t,pien,,,15,li,50,yes
5a,sm_treat,5a8,2016,t,pien,,,49,li,60,yes
5a,sm_treat,5a8,2016,t,pien,,,49,li,70,yes
5a,sm_treat,5a8,2016,t,pien,,,27,li,80,
5a,sm_treat,5a8,2016,t,pien,,,35,li,50,
5a,sm_treat,5a8,2016,t,pien,,,29,li,70,
5a,sm_treat,5a9,2016,t,pien,,,29,li,35,yes
5a,sm_treat,5a9,2016,t,abla,,,29,tw,,
5a,sm_treat,5a9,2016,t,pien,,,35,li,50,yes
5a,sm_treat,5a9,2016,t,abla,,,28,li,40,
5a,sm_treat,5a9,2016,t,abla,,,16,li,50,
5a,sm_treat,5a9,2016,t,pien,,,46,li,60,yes
5a,sm_treat,5a9,2016,t,abla,,,23,li,50,
5a,sm_treat,5a9,2016,t,abla,,,14,li,40,
5a,sm_treat,5a9,2016,t,pien,,,12,li,30,yes
5a,sm_treat,5a9,2016,t,pien,,,20,li,40,yes
5a,sm_treat,5a9,2016,t,abla,,,11,li,50,
5a,sm_treat,5a9,2016,t,abla,,,11,li,40,connected to 284
5a,sm_treat,5a9,2016,t,abla,,,9,li,15,connected to 283
5a,sm_treat,5a9,2016,t,abla,,,28,li,40,
5a,sm_treat,5a9,2016,t,abla,,,36,li,70,
5a,sm_treat,5a9,2016,t,abla,,,10,li,10,
5a,sm_treat,5a9,2016,t,abla,,,10,li,30,
5a,sm_treat,5a9,2016,t,pien,,,16,li,30,
5a,sm_treat,5a9,2016,t,pien,,,18,li,50,
5a,sm_treat,5a9,2016,t,abla,,,8,li,30,
5a,sm_treat,5a9,2016,t,abla,,,12,li,20,
5a,sm_treat,5a9,2016,t,abla,,,12,li,20,
5a,sm_treat,5a9,2016,t,pien,,60,,u,,
5a,sm_treat,5a9,2016,t,abla,20,,,sn,,
5a,sm_treat,5a9,2016,t,pien,,58,,u,,
5a,sm_treat,5a9,2016,t,pien,,59,,u,,
5a,sm_treat,5a9,2016,t,pien,,80,,u,,
5a,sm_treat,5a9,2016,t,abla,,,7,li,80,
5a,sm_treat,5a9,2016,t,abla,,,8,li,40,
5a,sm_treat,5a9,2016,t,pien,,,21,li,40,yes
5a,sm_treat,5a9,2016,t,abla,,,5,li,60,
5a,sm_treat,5a9,2016,t,pien,,,23,li,90,
5a,sm_treat,5a9,2016,t,pien,,,34,li,70,yes
5a,sm_treat,5a9,2016,t,abla,,,5,li,50,
5a,sm_treat,5a9,2016,t,abla,,,7,li,60,
5a,sm_treat,5a9,2016,t,abla,,,6,li,50,
5a,sm_treat,5a9,2016,t,abla,,,5,li,30,
5a,sm_treat,5a9,2016,t,abla,,,4,li,80,
5a,sm_treat,5a9,2016,t,pien,,,6,li,90,
5a,sm_treat,5a9,2016,t,pien,,,64,li,60,yes
5a,sm_treat,5a9,2016,t,abla,,,13,li,50,
5a,sm_treat,5a9,2016,t,abla,,,22,li,60,
5a,sm_treat,5a9,2016,t,abla,,,5,li,80,
5a,sm_treat,5a9,2016,t,abla,,,28,li,50,
5a,sm_treat,5a9,2016,t,pien,43,,,sn,,
5a,sm_treat,5a9,2016,t,abla,,,11,li,50,
5a,sm_treat,5a9,2016,t,abla,,,11,ye,,
5a,sm_treat,5a9,2016,t,abla,,,19,li,40,
5a,sm_treat,5a9,2016,t,pien,,59,,u,,
5a,sm_treat,5a9,2016,t,abla,,,8,li,20,
5a,sm_treat,5a9,2016,t,abla,,,35,li,50,
5a,sm_treat,5a9,2016,t,abla,,,18,li,40,
5b,sm_cont,5b1,2016,c,abla,,,5,li,20,
5b,sm_cont,5b1,2016,c,abla,,,5,li,10,
5b,sm_cont,5b1,2016,c,pien,,,39,li,50,
5b,sm_cont,5b1,2016,c,pien,,,30,li,50,
5b,sm_cont,5b1,2016,c,abla,,,9,li,10,
5b,sm_cont,5b1,2016,c,abla,,,17,li,30,
5b,sm_cont,5b1,2016,c,abla,,,12,li,50,
5b,sm_cont,5b1,2016,c,pien,,,23,li,60,
5b,sm_cont,5b1,2016,c,abla,,,7,li,30,
5b,sm_cont,5b1,2016,c,abla,,,9,tw,,
5b,sm_cont,5b1,2016,c,abla,,,9,gr,40,
5b,sm_cont,5b1,2016,c,abla,,,14,gr,30,
5b,sm_cont,5b1,2016,c,abla,,,37,tw,,
5b,sm_cont,5b1,2016,c,pien,,,33,li,30,
5b,sm_cont,5b1,2016,c,abla,,,42,li,60,
5b,sm_cont,5b1,2016,c,pien,,,18,li,40,
5b,sm_cont,5b1,2016,c,abla,,,8,li,40,
5b,sm_cont,5b1,2016,c,abla,,,5,li,30,
5b,sm_cont,5b1,2016,c,pien,,,32,li,50,
5b,sm_cont,5b1,2016,c,pien,,,35,li,60,
5b,sm_cont,5b1,2016,c,pien,,,51,li,80,
5b,sm_cont,5b1,2016,c,pien,,,33,li,60,
5b,sm_cont,5b1,2016,c,pien,,,15,li,60,
5b,sm_cont,5b1,2016,c,pien,,,49,li,70,
5b,sm_cont,5b1,2016,c,abla,,,19,li,40,
5b,sm_cont,5b1,2016,c,abla,,,8,li,50,
5b,sm_cont,5b1,2016,c,abla,,,13,li,60,
5b,sm_cont,5b1,2016,c,abla,,,32,li,30,
5b,sm_cont,5b1,2016,c,abla,,,5,li,20,
5b,sm_cont,5b1,2016,c,pien,,,35,li,40,
5b,sm_cont,5b1,2016,c,abla,,,8,li,30,
5b,sm_cont,5b1,2016,c,abla,,,8,li,60,
5b,sm_cont,5b1,2016,c,abla,,,13,tw,,
5b,sm_cont,5b1,2016,c,abla,,,10,li,50,
5b,sm_cont,5b1,2016,c,abla,,,28,li,60,
5b,sm_cont,5b1,2016,c,abla,18,,,sn,,
5b,sm_cont,5b1,2016,c,pien,29,,,sn,,
5b,sm_cont,5b1,2016,c,abla,,,5,li,40,
5b,sm_cont,5b1,2016,c,abla,,,13,li,50,
5b,sm_cont,5b1,2016,c,abla,,,12,li,60,
5b,sm_cont,5b1,2016,c,pien,,,48,li,70,
5b,sm_cont,5b1,2016,c,abla,,,10,li,50,
5b,sm_cont,5b1,2016,c,abla,,,11,li,80,
5b,sm_cont,5b1,2016,c,pien,,,39,tw,,
5b,sm_cont,5b1,2016,c,pien,,,15,li,40,y
5b,sm_cont,5b1,2016,c,pien,,,18,li,30,
5b,sm_cont,5b1,2016,c,abla,,,11,li,10,
5b,sm_cont,5b1,2016,c,abla,,,10,li,30,
5b,sm_cont,5b1,2016,c,abla,,,10,de,,
5b,sm_cont,5b1,2016,c,potr,,,26,li,10,
5b,sm_cont,5b1,2016,c,abla,,,12,tw,,
5b,sm_cont,5b1,2016,c,abla,,,7,li,30,
5b,sm_cont,5b1,2016,c,abla,,,25,tw,,
5b,sm_cont,5b1,2016,c,pien,,,21,li,20,
5b,sm_cont,5b1,2016,c,abla,,,9,li,40,
5b,sm_cont,5b1,2016,c,abla,,,6,li,40,
5b,sm_cont,5b1,2016,c,abla,,,7,li,40,
5b,sm_cont,5b1,2016,c,pien,,,28,li,70,
5b,sm_cont,5b1,2016,c,abla,,,9,li,20,
5b,sm_cont,5b1,2016,c,abla,,,5,li,20,
5b,sm_cont,5b1,2016,c,abla,,,13,li,30,
5b,sm_cont,5b1,2016,c,abla,,,21,li,50,
5b,sm_cont,5b1,2016,c,abla,,,8,li,40,
5b,sm_cont,5b1,2016,c,abla,,,43,br,,
5b,sm_cont,5b1,2016,c,abla,,,34,tw,,
5b,sm_cont,5b1,2016,c,abla,,,8,li,30,
5b,sm_cont,5b1,2016,c,abla,,,11,li,50,
5b,sm_cont,5b1,2016,c,abla,,,32,tw,,
5b,sm_cont,5b1,2016,c,abla,,,10,li,40,
5b,sm_cont,5b1,2016,c,abla,,,25,br,,
5b,sm_cont,5b1,2016,c,abla,,,21,li,50,
5b,sm_cont,5b1,2016,c,abla,,,7,li,40,
5b,sm_cont,5b1,2016,c,abla,,,19,li,60,
5b,sm_cont,5b1,2016,c,abla,,,18,li,50,
5b,sm_cont,5b1,2016,c,pien,,,38,li,40,
5b,sm_cont,5b1,2016,c,pien,,,26,li,40,
5b,sm_cont,5b1,2016,c,pien,,,46,li,60,y
5b,sm_cont,5b1,2016,c,abla,,,21,li,50,
5b,sm_cont,5b1,2016,c,pien,,,38,li,40,y
5b,sm_cont,5b1,2016,c,pien,,,14,li,10,y
5b,sm_cont,5b1,2016,c,pien,,,26,li,30,y
5b,sm_cont,5b1,2016,c,pien,,,55,li,50,y
5b,sm_cont,5b2,2016,c,pien,,,29,li,30,
5b,sm_cont,5b2,2016,c,abla,,,21,tw,,
5b,sm_cont,5b2,2016,c,abla,,,9,li,10,
5b,sm_cont,5b2,2016,c,pien,,,34,li,30,
5b,sm_cont,5b2,2016,c,pien,,,20,li,50,
5b,sm_cont,5b2,2016,c,abla,,,3,tw,,
5b,sm_cont,5b2,2016,c,abla,15,,,sn,,
5b,sm_cont,5b2,2016,c,abla,,,37,li,30,
5b,sm_cont,5b2,2016,c,na,,54,,u,,
5b,sm_cont,5b2,2016,c,abla,,,34,tw,,
5b,sm_cont,5b2,2016,c,abla,,,32,li,20,
5b,sm_cont,5b2,2016,c,pien,,,27,li,10,
5b,sm_cont,5b2,2016,c,abla,,,17,li,10,
5b,sm_cont,5b2,2016,c,abla,,,23,li,20,
5b,sm_cont,5b2,2016,c,abla,,,7,li,10,
5b,sm_cont,5b2,2016,c,abla,,,9,tw,,
5b,sm_cont,5b2,2016,c,abla,,,5,li,10,
5b,sm_cont,5b2,2016,c,abla,,,10,li,10,
5b,sm_cont,5b2,2016,c,abla,,,35,li,40,
5b,sm_cont,5b2,2016,c,abla,,,6,tw,,
5b,sm_cont,5b2,2016,c,abla,,,22,li,30,
5b,sm_cont,5b2,2016,c,pien,,,25,de,,
5b,sm_cont,5b2,2016,c,pien,,,10,li,10,
5b,sm_cont,5b2,2016,c,pien,,,37,li,20,
5b,sm_cont,5b2,2016,c,pien,,,79,li,90,
5b,sm_cont,5b2,2016,c,pien,,,18,li,20,
5b,sm_cont,5b2,2016,c,abla,,,6,li,10,
5b,sm_cont,5b2,2016,c,pien,,,52,li,90,
5b,sm_cont,5b2,2016,c,pien,,,32,li,30,
5b,sm_cont,5b2,2016,c,pien,,,43,li,20,
5b,sm_cont,5b2,2016,c,abla,,,13,li,20,
5b,sm_cont,5b2,2016,c,abla,,,11,li,30,
5b,sm_cont,5b2,2016,c,abla,,,9,li,10,
5b,sm_cont,5b2,2016,c,abla,,,25,li,10,
5b,sm_cont,5b2,2016,c,abla,,,38,li,50,
5b,sm_cont,5b2,2016,c,abla,5,,,sn,,
5b,sm_cont,5b2,2016,c,abla,,,7,li,10,
5b,sm_cont,5b2,2016,c,abla,,,8,li,20,
5b,sm_cont,5b2,2016,c,pien,,,69,li,70,
5b,sm_cont,5b2,2016,c,abla,,,27,li,10,
5b,sm_cont,5b2,2016,c,abla,,,12,li,40,
5b,sm_cont,5b2,2016,c,pien,,,21,li,40,y
5b,sm_cont,5b2,2016,c,pien,,,57,li,90,y
5b,sm_cont,5b2,2016,c,abla,,,10,li,30,
5b,sm_cont,5b2,2016,c,abla,,,16,li,25,
5b,sm_cont,5b2,2016,c,pien,,,15,li,30,y
5b,sm_cont,5b2,2016,c,abla,27,,,sn,,
5b,sm_cont,5b2,2016,c,pien,,,15,li,20,
5b,sm_cont,5b2,2016,c,pien,,,8,li,10,
5b,sm_cont,5b2,2016,c,abla,,,9,li,10,
5b,sm_cont,5b2,2016,c,abla,,,28,tw,,
5b,sm_cont,5b2,2016,c,pien,,,49,tw,,
5b,sm_cont,5b2,2016,c,abla,,,13,li,10,
5b,sm_cont,5b2,2016,c,abla,,,16,tw,,
5b,sm_cont,5b2,2016,c,abla,,,10,de,,
5b,sm_cont,5b2,2016,c,abla,,,6,de,,
5b,sm_cont,5b2,2016,c,abla,,,11,de,,
5b,sm_cont,5b2,2016,c,abla,,,6,li,10,
5b,sm_cont,5b2,2016,c,abla,,,11,li,10,
5b,sm_cont,5b2,2016,c,abla,,,4,li,10,
5b,sm_cont,5b2,2016,c,abla,,,18,tw,,
5b,sm_cont,5b2,2016,c,abla,,,9,tw,,
5b,sm_cont,5b2,2016,c,piea,,,21,li,30,
5b,sm_cont,5b2,2016,c,piea,,,34,li,60,
5b,sm_cont,5b2,2016,c,abla,,,23,br,,
5b,sm_cont,5b2,2016,c,abla,,,18,li,30,
5b,sm_cont,5b2,2016,c,abla,20,,,sn,,
5b,sm_cont,5b2,2016,c,pien,,,31,li,20,y
5b,sm_cont,5b2,2016,c,pien,,,36,li,40,y
5b,sm_cont,5b2,2016,c,pien,,,40,li,30,y
5b,sm_cont,5b2,2016,c,pien,,,30,li,40,y
5b,sm_cont,5b2,2016,c,pien,,,29,li,40,y
5b,sm_cont,5b3,2016,c,pien,,,40,li,60,
5b,sm_cont,5b3,2016,c,abla,,,47,li,65,
5b,sm_cont,5b3,2016,c,pien,,,53,li,40,
5b,sm_cont,5b3,2016,c,pien,,,25,li,20,
5b,sm_cont,5b3,2016,c,pien,,,46,li,30,
5b,sm_cont,5b3,2016,c,abla,,,31,li,40,
5b,sm_cont,5b3,2016,c,abla,,,42,tw,,
5b,sm_cont,5b3,2016,c,pien,,,26,li,40,
5b,sm_cont,5b3,2016,c,pien,,,25,li,40,
5b,sm_cont,5b3,2016,c,abla,,,55,gr,15,
5b,sm_cont,5b3,2016,c,pien,,,13,li,10,
5b,sm_cont,5b3,2016,c,pien,,,12,li,10,
5b,sm_cont,5b3,2016,c,pien,,,59,li,55,
5b,sm_cont,5b3,2016,c,pien,23,,,sn,,
5b,sm_cont,5b3,2016,c,pien,18,,,sn,,
5b,sm_cont,5b3,2016,c,pien,,,37,li,50,
5b,sm_cont,5b3,2016,c,abla,,,15,li,30,
5b,sm_cont,5b3,2016,c,pien,,,29,li,30,
5b,sm_cont,5b3,2016,c,abla,,,31,li,40,
5b,sm_cont,5b3,2016,c,abla,,,35,li,50,
5b,sm_cont,5b3,2016,c,pien,44,,,sn,,
5b,sm_cont,5b3,2016,c,abla,,,6,li,20,
5b,sm_cont,5b3,2016,c,abla,,,21,li,10,
5b,sm_cont,5b3,2016,c,piea,,,24,tw,,
5b,sm_cont,5b4,2016,c,pien,,,65,li,35,
5b,sm_cont,5b4,2016,c,abla,,,7,li,20,
5b,sm_cont,5b4,2016,c,abla,,,6,li,15,
5b,sm_cont,5b4,2016,c,abla,,,8,tw,0,
5b,sm_cont,5b4,2016,c,pien,,,22,li,60,
5b,sm_cont,5b4,2016,c,abla,,,7,li,30,
5b,sm_cont,5b4,2016,c,pien,,,17,li,15,
5b,sm_cont,5b4,2016,c,abla,,,12,li,40,
5b,sm_cont,5b4,2016,c,pien,,,26,li,30,
5b,sm_cont,5b4,2016,c,pien,,,10,li,15,
5b,sm_cont,5b4,2016,c,abla,,,11,li,45,
5b,sm_cont,5b4,2016,c,pien,,,11,de,,
5b,sm_cont,5b4,2016,c,pien,,,10,de,,
5b,sm_cont,5b4,2016,c,abla,,,12,li,50,
5b,sm_cont,5b4,2016,c,abla,,,11,li,70,
5b,sm_cont,5b4,2016,c,pien,,,7,li,20,
5b,sm_cont,5b4,2016,c,pien,,,37,li,30,
5b,sm_cont,5b4,2016,c,abla,,,9,li,15,
5b,sm_cont,5b4,2016,c,pien,,,36,li,40,
5b,sm_cont,5b4,2016,c,pien,,,12,tw,0,
5b,sm_cont,5b4,2016,c,pien,,,9,tw,0,
5b,sm_cont,5b4,2016,c,abla,,,11,li,10,
5b,sm_cont,5b4,2016,c,pien,,,34,li,30,
5b,sm_cont,5b4,2016,c,pien,,,21,tw,0,
5b,sm_cont,5b4,2016,c,pien,,,40,li,60,
5b,sm_cont,5b4,2016,c,pien,,,27,li,40,
5b,sm_cont,5b4,2016,c,abla,,,10,li,25,
5b,sm_cont,5b4,2016,c,pien,,,40,li,25,
5b,sm_cont,5b4,2016,c,abla,,,20,tw,0,
5b,sm_cont,5b4,2016,c,abla,,,8,li,5,
5b,sm_cont,5b4,2016,c,abla,,,11,li,5,
5b,sm_cont,5b4,2016,c,pien,,,14,li,10,
5b,sm_cont,5b4,2016,c,abla,,,22,tw,0,
5b,sm_cont,5b4,2016,c,abla,,,4,li,15,
5b,sm_cont,5b4,2016,c,pien,,,16,tw,0,
5b,sm_cont,5b4,2016,c,pien,,,23,li,15,
5b,sm_cont,5b4,2016,c,pien,,,41,li,15,
5b,sm_cont,5b4,2016,c,pien,,,21,tw,0,
5b,sm_cont,5b4,2016,c,pien,,,10,tw,0,
5b,sm_cont,5b4,2016,c,abla,,,12,tw,0,
5b,sm_cont,5b4,2016,c,pien,,,11,li,10,
5b,sm_cont,5b4,2016,c,pien,,,8,tw,0,
5b,sm_cont,5b4,2016,c,pien,,,62,li,50,
5b,sm_cont,5b4,2016,c,pien,,,39,li,20,
5b,sm_cont,5b4,2016,c,pien,,,40,li,35,
5b,sm_cont,5b4,2016,c,abla,,,10,li,65,
5b,sm_cont,5b4,2016,c,pien,,,20,li,50,
5b,sm_cont,5b4,2016,c,pien,,,3,li,50,
5b,sm_cont,5b4,2016,c,pien,,,49,li,40,
5b,sm_cont,5b4,2016,c,pien,,,4,de,0,
5b,sm_cont,5b4,2016,c,abla,,,8,li,10,
5b,sm_cont,5b4,2016,c,pien,,,13,li,15,
5b,sm_cont,5b4,2016,c,pien,,,15,li,30,
5b,sm_cont,5b4,2016,c,pien,,,11,li,20,
5b,sm_cont,5b4,2016,c,pien,,,18,li,5,
5b,sm_cont,5b4,2016,c,pien,,,10,li,15,
5b,sm_cont,5b4,2016,c,pien,,,5,li,5,
5b,sm_cont,5b4,2016,c,pien,,,12,li,40,
5b,sm_cont,5b4,2016,c,pien,,,21,li,0,
5b,sm_cont,5b4,2016,c,abla,,,11,tw,0,
5b,sm_cont,5b4,2016,c,abla,,,11,tw,0,
5b,sm_cont,5b4,2016,c,pien,,,34,tw,0,
5b,sm_cont,5b4,2016,c,abla,,,42,tw,0,
5b,sm_cont,5b4,2016,c,pien,,,52,li,45,y
5b,sm_cont,5b4,2016,c,pien,,,61,li,70,
5b,sm_cont,5b5,2016,c,pien,,,28,li,60,
5b,sm_cont,5b5,2016,c,abla,,,12,li,40,
5b,sm_cont,5b5,2016,c,pien,,,30,li,60,
5b,sm_cont,5b5,2016,c,abla,,,8,gr,20,
5b,sm_cont,5b5,2016,c,pien,,,42,gr,10,
5b,sm_cont,5b5,2016,c,pien,,,8,tw,,
5b,sm_cont,5b5,2016,c,pien,,,20,li,10,
5b,sm_cont,5b5,2016,c,pien,,,19,li,20,
5b,sm_cont,5b5,2016,c,pien,,,9,nd,,
5b,sm_cont,5b5,2016,c,abla,,,14,li,30,
5b,sm_cont,5b5,2016,c,abla,,,6,nd,,
5b,sm_cont,5b5,2016,c,pien,,,12,nd,,
5b,sm_cont,5b5,2016,c,pien,,,14,li,30,
5b,sm_cont,5b5,2016,c,abla,,,10,li,20,
5b,sm_cont,5b5,2016,c,pien,,,32,li,30,
5b,sm_cont,5b5,2016,c,abla,,,21,li,40,
5b,sm_cont,5b5,2016,c,abla,,,5,li,10,
5b,sm_cont,5b5,2016,c,abla,,,7,li,30,
5b,sm_cont,5b5,2016,c,abla,,,8,li,40,
5b,sm_cont,5b5,2016,c,pien,,,18,li,40,
5b,sm_cont,5b5,2016,c,pien,,,13,li,60,
5b,sm_cont,5b5,2016,c,pien,,,23,li,40,
5b,sm_cont,5b5,2016,c,abla,,,8,li,30,
5b,sm_cont,5b5,2016,c,abla,,,29,br,,
5b,sm_cont,5b5,2016,c,abla,8,,,sn,,
5b,sm_cont,5b5,2016,c,pien,,,15,tw,20,
5b,sm_cont,5b5,2016,c,abla,,,14,li,40,
5b,sm_cont,5b5,2016,c,pien,,,39,li,30,
5b,sm_cont,5b5,2016,c,pien,,,23,li,40,
5b,sm_cont,5b5,2016,c,abla,,,8,li,10,
5b,sm_cont,5b5,2016,c,pien,,,11,li,40,
5b,sm_cont,5b5,2016,c,pien,,,19,li,30,
5b,sm_cont,5b5,2016,c,abla,,,21,li,10,
5b,sm_cont,5b5,2016,c,pien,,,38,br,,
5b,sm_cont,5b5,2016,c,abla,,,22,nd,10,
5b,sm_cont,5b5,2016,c,abla,,,5,br,,
